"","Median","LCI","UCI"
"SB0",27873.147,20544.751,38601.256
"m",0.829,0.659,1.049
"Hmsy.1",0.121,0.084,0.172
"Hmsy.2",0.147,0.102,0.208
"SBmsy",9316.896,6328.592,13839.827
"MSY.1",1125.816,879.045,1447.252
"MSY.2",1361.531,1064.065,1746.943
"Href.1",0.1,0.078,0.125
"Href.2",0.121,0.094,0.151
"SBref",11149.259,8217.9,15440.502
"Yref.1",1106.657,868.323,1424.365
"Yref.2",1338.761,1050.632,1719.102
"P1",0.858,0.56,1.313
"P40",0.35,0.235,0.526
"B_Bmsy.cur",0.874,0.589,1.316
"H_Hmsy.cur",1.274,0.821,1.751
