"Year","S1","S2"
1,231.928244970139,0
2,365.442079938708,0
3,590.270686497969,0
4,593.048100709738,0
5,521.854466361315,0
6,546.544363791316,0
7,609.225414320825,0
8,879.385728768261,0
9,979.748089358916,0
10,1087.29231881233,0
11,1421.59136035572,0
12,1603.88967707293,0
13,2524.39609402115,0
14,3140.41027121592,0
15,3125.78328752513,0
16,2934.80420838584,0
17,2682.58051294423,0
18,2418.39383607186,0
19,1968.18490751269,0
20,2122.57964717976,0
21,2104.65262685624,0
22,2531.16921175255,0
23,2566.44750938479,0
24,2465.43088038288,0
25,1687.65730159451,0
26,0,1345.44580293957
27,0,1016.0720530885
28,0,831.987919230133
29,0,833.300424255903
30,0,635.140062836732
31,0,678.394073017758
32,0,604.60241595274
33,0,633.818375683518
34,0,754.226700180096
35,0,850.035921471107
36,0,921.075505050262
37,0,1046.47182313107
38,0,1019.98660743802
39,0,1243.7850350196
40,0,1473.11810608398
