"Year","A1.S1","A1.S2","A2.S1","A2.S2"
1,1337.27152875827,NA,1193.12649647032,NA
2,1646.14224495358,NA,556.557525313153,NA
3,1059.44420527615,NA,438.142851271983,NA
4,1487.84804772615,NA,417.516648904059,NA
5,1007.6178589897,NA,438.371138170192,NA
6,840.564136432324,NA,233.821284398674,NA
7,1018.76510887511,NA,264.433757254355,NA
8,1180.65612710755,NA,668.935764892159,NA
9,1104.28484528147,NA,252.701213211818,NA
10,1365.49070127152,NA,577.465792337036,NA
11,1247.78146173166,NA,345.391244494904,NA
12,1357.57747980329,NA,775.830286692493,NA
13,1197.7689859273,NA,803.272192076754,NA
14,1308.74638667049,NA,1295.78752508732,NA
15,1063.83985082409,NA,392.080050685676,NA
16,1109.75814726328,NA,220.008182501162,NA
17,688.863999720314,NA,385.093837866075,NA
18,899.588313868387,NA,223.863342336352,NA
19,799.095212599931,NA,304.635586089317,NA
20,731.271476668241,NA,301.648674514974,NA
21,775.025772338898,NA,337.92439729036,NA
22,473.354871425339,NA,342.351802862586,NA
23,448.730614040826,NA,171.002062899579,NA
24,400.754529729454,NA,185.078103072378,NA
25,251.922809841542,NA,251.894313573143,NA
26,NA,215.540288457633,NA,102.593259929952
27,NA,250.59991879813,NA,57.1295569102128
28,NA,196.344578478327,NA,94.9799857420364
29,NA,145.016212956989,NA,104.258626449931
30,NA,182.176088750924,NA,97.3101243459473
31,NA,238.81114215498,NA,126.797730576376
32,NA,252.421584204133,NA,122.922589232931
33,NA,312.93202127439,NA,89.1660445588852
34,NA,439.631206228919,NA,188.056195453491
35,NA,440.376197363399,NA,206.559891144596
36,NA,453.970856674508,NA,161.121514512798
37,NA,434.295429903971,NA,303.906846850521
38,NA,443.279559532101,NA,178.367260215337
39,NA,545.42410630888,NA,195.173240317306
40,NA,553.570513897759,NA,273.718010152271
