"Year","A1.S1","A1.S2","A2.S1","A2.S2"
1,0.1,NA,0.2,NA
2,0.1,NA,0.2,NA
3,0.1,NA,0.2,NA
4,0.1,NA,0.2,NA
5,0.1,NA,0.2,NA
6,0.1,NA,0.2,NA
7,0.1,NA,0.2,NA
8,0.1,NA,0.2,NA
9,0.1,NA,0.2,NA
10,0.1,NA,0.2,NA
11,0.1,NA,0.2,NA
12,0.1,NA,0.2,NA
13,0.1,NA,0.2,NA
14,0.1,NA,0.2,NA
15,0.1,NA,0.2,NA
16,0.1,NA,0.2,NA
17,0.1,NA,0.2,NA
18,0.1,NA,0.2,NA
19,0.1,NA,0.2,NA
20,0.1,NA,0.2,NA
21,0.1,NA,0.2,NA
22,0.1,NA,0.2,NA
23,0.1,NA,0.2,NA
24,0.1,NA,0.2,NA
25,0.1,NA,0.2,NA
26,NA,0.1,NA,0.2
27,NA,0.1,NA,0.2
28,NA,0.1,NA,0.2
29,NA,0.1,NA,0.2
30,NA,0.1,NA,0.2
31,NA,0.1,NA,0.2
32,NA,0.1,NA,0.2
33,NA,0.1,NA,0.2
34,NA,0.1,NA,0.2
35,NA,0.1,NA,0.2
36,NA,0.1,NA,0.2
37,NA,0.1,NA,0.2
38,NA,0.1,NA,0.2
39,NA,0.1,NA,0.2
40,NA,0.1,NA,0.2
