"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"SB0",148078.729,111874.229,185902.469,0.078,0.617
"Hmsy",0.446,0.293,0.756,0.891,0.578
"q.1",0,0,0,0.231,0.259
"q.2",0.001,0,0.001,0.812,0.905
"q.3",0.001,0.001,0.002,0.093,0.214
"q.4",0,0,0,0.47,0.391
"q.5",0,0,0,0.289,0.63
"q.6",0,0,0,0.364,0.6
"q.7",0.007,0.005,0.01,0.042,0.213
"q.8",0.006,0.004,0.009,0.229,0.359
"q.9",0,0,0,0.163,0.309
"psi",0.994,0.902,1.089,0.976,0.216
"sigma2",0.004,0,0.015,0.371,0.124
"tau2.1",0.003,0.001,0.009,0.541,0.223
"tau2.2",0.003,0.001,0.009,0.944,0.436
"tau2.3",0.003,0.001,0.009,0.704,0.593
"tau2.4",0.003,0.001,0.009,0.306,0.712
"tau2.5",0.003,0.001,0.009,0.213,0.529
"tau2.6",0.003,0.001,0.009,0.327,0.826
"m",0.392,0.261,0.579,0.26,0.602
