"","Year","CPUE","logSE"
"1",1949,NA,0.2
"2",1950,NA,0.2
"3",1951,NA,0.2
"4",1952,NA,0.2
"5",1953,NA,0.2
"6",1954,NA,0.2
"7",1955,NA,0.2
"8",1956,NA,0.2
"9",1957,NA,0.2
"10",1958,NA,0.2
"11",1959,NA,0.2
"12",1960,NA,0.2
"13",1961,NA,0.2
"14",1962,108.196624493647,0.18668826629285
"15",1963,104.750260609683,0.168038644308395
"16",1964,88.5214587627597,0.150573199395303
"17",1965,76.6608042253843,0.146572068212714
"18",1966,70.9435533706384,0.146810836464656
"19",1967,68.0715168879136,0.145514497286516
"20",1968,63.291312833891,0.150085581632801
"21",1969,60.778045268403,0.161206861588429
"22",1970,60.6263277980987,0.180842776576193
"23",1971,59.5931128364693,0.230408757562993
"24",1972,58.319570675511,0.269701710940147
"25",1973,57.4021712595672,0.304921766445625
"26",1974,56.6055793058796,0.333124830297479
"27",1975,50.3856281813833,0.357683543604321
"28",1976,42.3464749082013,0.37616027016678
"29",1977,31.5413796824614,0.398867589041994
"30",1978,26.6668047626216,0.411443470171567
"31",1979,24.5395659072617,0.414916462257547
"32",1980,23.8289999001133,0.412399215747306
"33",1981,24.4337295581698,0.406037640917991
"34",1982,24.5358234726333,0.404165781645704
"35",1983,24.5370969817775,0.402860371968601
"36",1984,24.471766115759,0.403176018332207
"37",1985,24.6233830214151,0.403403198376006
"38",1986,24.0658203513852,0.402747926449911
"39",1987,23.348639249524,0.401324303307892
"40",1988,22.2750471247877,0.402145519601238
"41",1989,20.7739965075778,0.403981658891651
"42",1990,19.2936986314131,0.404380803435854
"43",1991,17.6252905167152,0.405381489292519
"44",1992,16.7788332810512,0.403723792433573
"45",1993,15.3590533648217,0.405065567479066
"46",1994,13.0985142685657,0.40981381036515
"47",1995,12.176701721133,0.411282800319928
"48",1996,11.5646668140375,0.414445219827999
"49",1997,12.5505215837939,0.40901799340284
"50",1998,13.9591384406399,0.406914447294122
"51",1999,14.7625109099468,0.408251565742142
"52",2000,15.6561178250108,0.40651585748226
"53",2001,15.9367371123006,0.408672030018585
"54",2002,16.7684103903971,0.406782485191292
"55",2003,16.7822881559899,0.406013769742141
"56",2004,16.7455427999968,0.406916294281952
"57",2005,17.2545755906904,0.404745760336068
"58",2006,15.7842415103722,0.409705812698676
"59",2007,16.4150926354972,0.409029587468201
"60",2008,17.8903070234263,0.407238417416165
"61",2009,19.1137569289675,0.403294641017954
"62",2010,19.833783164085,0.402050833470576
"63",2011,19.7055705751233,0.404934228770276
"64",2012,19.6136301561207,0.402695549472445
"65",2013,17.7468027414652,0.409315587464705
"66",2014,18.0144185172634,0.408651309392229
"67",2015,19.3729397217154,0.404315292823074
"68",2016,19.1648525479499,0.415024567458714
"69",2017,18.5748516383847,0.448165350849782
