"","Median","LCI","UCI","Geweke.p","Heidelberger.p"
"SB0",101824.995,64596.873,139598.054,0.429,0.533
"Hmsy.1",0.458,0.299,0.865,0.424,0.609
"Hmsy.2",0.559,0.364,1.054,0.529,0.731
"Hmsy.3",0.622,0.404,1.155,0.327,0.43
"Hmsy.4",0.522,0.339,0.98,0.443,0.679
"Hmsy.5",0.451,0.294,0.85,0.459,0.661
"Hmsy.6",0.663,0.427,1.251,0.379,0.638
"q.1",0,0,0,0.275,0.514
"q.2",0,0,0.001,0.311,0.259
"q.3",0.001,0.001,0.001,0.108,0.197
"q.4",0,0,0,0.244,0.477
"q.5",0,0,0,0.027,0.053
"q.6",0,0,0,0.203,0.9
"q.7",0.005,0.004,0.009,0.218,0.379
"q.8",0.01,0.007,0.016,0.304,0.73
"q.9",0,0,0,0.139,0.239
"psi",1.003,0.914,1.104,0.765,0.79
"sigma2",0.01,0.001,0.041,0.54,0.894
"tau2.1",0.003,0.001,0.009,0.728,0.269
"tau2.2",0.003,0.001,0.009,0.9,0.556
"tau2.3",0.003,0.001,0.009,0.902,0.824
"tau2.4",0.003,0.001,0.009,0.33,0.318
"tau2.5",0.003,0.001,0.009,0.22,0.111
"tau2.6",0.003,0.001,0.009,0.743,0.53
"m",0.439,0.31,0.609,0.723,0.982
