"","Median","LCI","UCI"
"SB0",101824.995,64596.873,139598.054
"m",0.439,0.31,0.609
"Hmsy.1",0.458,0.299,0.865
"Hmsy.2",0.559,0.364,1.054
"Hmsy.3",0.622,0.404,1.155
"Hmsy.4",0.522,0.339,0.98
"Hmsy.5",0.451,0.294,0.85
"Hmsy.6",0.663,0.427,1.251
"SBmsy",23445.742,13547.487,34757.912
"MSY.1",10765.755,9732.65,12322.557
"MSY.2",13164.118,11764.007,15192.403
"MSY.3",14549.828,13484.084,16323.32
"MSY.4",12269.045,10917.226,14227.039
"MSY.5",10605.758,9550.809,12198.208
"MSY.6",15609.861,13455.444,18388.792
"Href.1",0.458,0.299,0.865
"Href.2",0.559,0.364,1.054
"Href.3",0.622,0.404,1.155
"Href.4",0.522,0.339,0.98
"Href.5",0.451,0.294,0.85
"Href.6",0.663,0.427,1.251
"SBref",23445.742,13547.487,34757.912
"Yref.1",10765.755,9732.65,12322.557
"Yref.2",13164.118,11764.007,15192.403
"Yref.3",14549.828,13484.084,16323.32
"Yref.4",12269.045,10917.226,14227.039
"Yref.5",10605.758,9550.809,12198.208
"Yref.6",15609.861,13455.444,18388.792
"P1949",1.003,0.912,1.106
"P2017",0.407,0.278,0.587
"B_Bmsy.cur",1.759,1.181,2.733
"H_Hmsy.cur",0.538,0.322,0.826
