"Yr","US_2","CAN_ERLY_5","CAN_LATE_4","JPN_ERLY_5","JPN_MID_6","JPN_LATE_7","PORT_8","MOR_10","Age-5+"
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,0.2,NA,NA,NA,NA,NA,NA,NA
1963,NA,0.2,NA,NA,NA,NA,NA,NA,NA
1964,NA,0.2,NA,NA,NA,NA,NA,NA,NA
1965,NA,0.2,NA,NA,NA,NA,NA,NA,NA
1966,NA,0.2,NA,NA,NA,NA,NA,NA,NA
1967,NA,0.2,NA,NA,NA,NA,NA,NA,NA
1968,NA,0.2,NA,NA,NA,NA,NA,NA,NA
1969,NA,0.2,NA,NA,NA,NA,NA,NA,NA
1970,NA,0.2,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,0.548315,NA,NA,NA,NA,NA
1975,NA,NA,NA,0.548315,NA,NA,NA,NA,NA
1976,NA,NA,NA,0.548315,NA,NA,NA,NA,NA
1977,NA,NA,NA,0.548315,NA,NA,NA,NA,NA
1978,NA,NA,NA,0.548315,NA,NA,NA,NA,NA
1979,NA,NA,0.303845,0.548315,NA,NA,NA,NA,NA
1980,NA,NA,0.303845,0.548315,NA,NA,NA,NA,NA
1981,NA,NA,0.303845,0.548315,NA,NA,NA,NA,NA
1982,NA,NA,0.303845,0.548315,NA,NA,NA,NA,0.24369
1983,NA,NA,0.303845,0.548315,NA,NA,NA,NA,0.19699
1984,NA,NA,0.303845,0.548315,NA,NA,NA,NA,0.19529
1985,NA,NA,0.303845,0.548315,NA,NA,NA,NA,0.19309
1986,NA,NA,0.303845,0.548315,NA,NA,NA,NA,0.18939
1987,NA,NA,0.303845,0.548315,NA,NA,NA,NA,0.19369
1988,NA,NA,0.303845,0.548315,NA,NA,NA,NA,0.18869
1989,NA,NA,0.303845,0.548315,NA,NA,NA,NA,0.18899
1990,NA,NA,0.303845,0.548315,NA,NA,NA,NA,0.18899
1991,NA,NA,0.303845,0.548315,NA,NA,NA,NA,0.18849
1992,0.217364,NA,0.303845,0.548315,NA,NA,NA,NA,0.18819
1993,0.217364,NA,0.303845,0.548315,NA,NA,NA,NA,0.18829
1994,0.217364,NA,0.303845,0.548315,NA,NA,NA,NA,0.18769
1995,0.217364,NA,0.303845,0.548315,NA,NA,NA,NA,0.18689
1996,0.217364,NA,0.303845,0.548315,NA,NA,NA,NA,0.18709
1997,0.217364,NA,0.303845,0.548315,NA,NA,NA,NA,0.18799
1998,0.217364,NA,0.303845,0.548315,NA,NA,NA,NA,0.18809
1999,0.217364,NA,0.303845,NA,NA,NA,0.202018,NA,0.18959
2000,0.217364,NA,0.303845,NA,NA,NA,0.202018,NA,0.18989
2001,0.217364,NA,0.303845,NA,NA,NA,0.202018,NA,0.18979
2002,0.217364,NA,0.303845,NA,NA,NA,0.202018,NA,0.18959
2003,0.217364,NA,0.303845,NA,NA,NA,0.202018,NA,0.19139
2004,0.217364,NA,0.303845,NA,NA,NA,0.202018,NA,0.19339
2005,0.217364,NA,0.303845,NA,NA,NA,0.202018,0.193071,0.19689
2006,0.217364,NA,0.303845,NA,0.56878,NA,0.202018,0.193071,0.20269
2007,0.217364,NA,0.303845,NA,0.635103,NA,0.202018,0.193071,0.21469
2008,0.217364,NA,0.303845,NA,0.554346,NA,0.202018,0.193071,0.20959
2009,0.217364,NA,0.303845,NA,0.533746,NA,0.202018,0.193071,0.21019
2010,0.217364,NA,0.303845,NA,0.517802,NA,0.202018,0.193071,0.20249
2011,0.217364,NA,0.303845,NA,NA,0.386735,0.202018,0.193071,0.20569
2012,0.217364,NA,0.303845,NA,NA,0.426594,0.202018,0.193071,0.22059
2013,0.217364,NA,0.303845,NA,NA,0.495499,0.202018,0.193071,0.22849
2014,0.217364,NA,0.303845,NA,NA,0.431883,0.202018,0.193071,0.23599
2015,0.217364,NA,0.303845,NA,NA,0.418723,0.202018,0.193071,0.21889
2016,NA,NA,0.303845,NA,NA,NA,0.202018,0.193071,NA
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA
